"Provided By","Date","Number of parks patrolled","Number of positive interactions","Number of social distancing warnings (verbal)","Number of large group warnings (verbal)","Number of closed facilities warnings (verbal)","Number of tickets issued","Number of interactions escalated","Total Number of interactions"
"Community Service Ambassadors","April 11, 2020","4","93","0","0","3",,,
"Community By-Law Enforcement","April 11, 2020","38","109","4","0","2","0",,
"Community Service Ambassadors","April 12, 2020","3","148","1","1","4",,,
"Community By-Law Enforcement","April 12, 2020","72","207","6","0","10","0",,
"Community Service Ambassadors","April 13, 2020","3","142","0","0","6",,,
"Community By-Law Enforcement","April 13, 2020","114","120","1","0","7","0",,
"Community Service Ambassadors","April 14, 2020","3","142","0","0","0",,,
"Community By-Law Enforcement","April 14, 2020","46","116","0","0","5","0",,
"Community By-Law Enforcement","April 15, 2020","43","95","0","0","9","0",,
"Community Service Ambassadors","April 15, 2020","3","432","0","0","3","0",,
"Community By-Law Enforcement","April 16, 2020","101","107","3","0","13","0",,
"Community Service Ambassadors","April 16, 2020","3","90","0","0","4","0",,
"Community By-Law Enforcement","April 17, 2020","71","197","4","1","23","0",,
"Community Service Ambassadors","April 17, 2020","4","205","1","6","29","0",,
"Community Service Ambassadors","April 18, 2020","5","216","1","2","14","0",,
"Community By-Law Enforcement","April 18, 2020","93","139","3","0","8","0",,
"Community By-Law Enforcement","April 19, 2020","87","230","0","1","16","0",,
"Community Service Ambassadors","April 19, 2020","4","514","7","0","28","0",,
"Community Service Ambassadors","April 20, 2020","4","465","0","0","2","0",,
"Community By-Law Enforcement","April 20, 2020","83","134","0","0","13","0",,
"Community Service Ambassadors","April 21, 2020","2","389","20","0","2","0",,
"Community By-Law Enforcement","April 21, 2020","62","121","1","0","10","0",,
"Community Service Ambassadors","April 22, 2020","3","707","44","0","8","0",,
"Community By-Law Enforcement","April 22, 2020","58","215","2","0","43","0",,
"Community By-Law Enforcement","April 23, 2020","24","111","3","3","20","0",,
"Community Service Ambassadors","April 23, 2020","2","250","2","4","67","0",,
"Community Service Ambassadors","April 24, 2020","2","189","16","2","47","0",,
"Community By-Law Enforcement","April 24, 2020","22","114","0","0","18","0",,
"Community Service Ambassadors","April 25, 2020","3","282","17","0","7","0",,
"Community By-Law Enforcement","April 25, 2020","87","151","2","0","27","0",,
"Community Service Ambassadors","April 26, 2020","3","588","50","11","30","0",,
"Community By-Law Enforcement","April 26, 2020","75","203","0","1","35","0",,
"Community By-Law Enforcement","April 27, 2020","77","372","4","1","40","0",,
"Community Service Ambassadors","April 27, 2020","3","653","25","1","39","0",,
"Community By-Law Enforcement","April 28, 2020","56","75","1","0","16","0",,
"Community Service Ambassadors","April 28, 2020","2","333","3","0","9","0",,
"Community Service Ambassadors","April 29, 2020","3","396","15","0","31","0",,
"Community By-Law Enforcement","April 29, 2020","28","195","1","0","39","0",,
"Community By-Law Enforcement","April 30, 2020","26","68","13","14","27","1",,
"Community Service Ambassadors","April 30, 2020","3","218","13","3","9","0",,
"Community Service Ambassadors","May 01, 2020","3","73","3","0","3","0",,
"Community By-Law Enforcement","May 01, 2020","37","24","0","0","5","0",,
"Community Service Ambassadors","May 02, 2020","3","378","23","12","14","0",,
"Community By-Law Enforcement","May 02, 2020","88","144","0","0","21","0",,
"Community Service Ambassadors","May 03, 2020","3","740","43","19","35","0",,
"Community By-Law Enforcement","May 03, 2020","78","165","2","2","12","0",,
"Community By-Law Enforcement","May 04, 2020","61","200","7","1","0","1",,
"Community Service Ambassadors","May 04, 2020","3","442","27","5","0","0",,
"Community By-Law Enforcement","May 05, 2020","30","211","1","0","0","0",,
"Community Service Ambassadors","May 05, 2020","2","327","8","0","0","0",,
"Community By-Law Enforcement","May 06, 2020","21","193","5","0","0","0",,
"Community Service Ambassadors","May 06, 2020","0","403","6","1","0","0",,
"Community Service Ambassadors","May 07, 2020","3","557","46","26","0","0",,
"Community By-Law Enforcement","May 07, 2020","146","257","6","1","0","0",,
"Community By-Law Enforcement","May 08, 2020","44","77","16","2","0","0",,
"Community Service Ambassadors","May 08, 2020","2","129","21","5","0","0",,
"Community By-Law Enforcement","May 09, 2020","52","267","0","0","0","0",,
"Community Service Ambassadors","May 09, 2020","3","396","19","0","0","0",,
"Community By-Law Enforcement","May 10, 2020","53","216","0","0","0","0",,
"Community Service Ambassadors","May 10, 2020","3","230","17","0","0","0",,
"Community By-Law Enforcement","May 11, 2020","67","243","0","0","0","0",,
"Community Service Ambassadors","May 11, 2020","3","432","9","1","0","0",,
"Community By-Law Enforcement","May 12, 2020","15","131","2","1","0","0",,
"Community Service Ambassadors","May 12, 2020","2","315","3","2","0","0",,
"Community By-Law Enforcement","May 13, 2020","16","11","0","0","0","0",,
"Community Service Ambassadors","May 13, 2020","2","91","0","1","0","0",,
"Community By-Law Enforcement","May 14, 2020","26","12","35","4","0","0",,
"Community Service Ambassadors","May 14, 2020","2","56","0","0","0","0",,
"Community Service Ambassadors","May 15, 2020","3","146","30","11","0","0",,
"Community By-Law Enforcement","May 15, 2020","23","129","32","30","0","0",,
"Community Service Ambassadors","May 16, 2020","3","679","64","13","0","0",,
"Community By-Law Enforcement","May 16, 2020","38","387","9","1","0","0",,
"Community Service Ambassadors","May 17, 2020","3","944","86","25","0","0",,
"Community By-Law Enforcement","May 17, 2020","41","919","34","6","0","0",,
"Community Service Ambassadors","May 18, 2020","2","304","16","3","0","0",,
"Community By-Law Enforcement","May 18, 2020","22","305","12","6","0","2",,
"Community By-Law Enforcement","May 19, 2020","27","408","19","7","0","0",,
"Community Service Ambassadors","May 19, 2020","3","253","18","6","0","0",,
"Community Service Ambassadors","May 20, 2020","6","288","14","2","0","0",,
"Community By-Law Enforcement","May 20, 2020","7","357","24","6","0","0",,
"Community Service Ambassadors","May 21, 2020","3","181","19","5","0","0",,
"Community By-Law Enforcement","May 21, 2020","34","221","5","0","0","0",,
"Community By-Law Enforcement","May 22, 2020","35","172","7","0","0","0",,
"Community Service Ambassadors","May 22, 2020","3","168","13","0","0","0",,
"Community By-Law Enforcement","May 23, 2020","50","461","12","0","0","0",,
"Community Service Ambassadors","May 23, 2020","4","540","78","0","0","0",,
"Community By-Law Enforcement","May 24, 2020","63","289","12","0","0","0",,
"Community Service Ambassadors","May 24, 2020","4","491","52","0","0","0",,
"Community By-Law Enforcement","May 25, 2020","68","393","14","0","0","0",,
"Community Service Ambassadors","May 25, 2020","4","562","74","0","0","0",,
"Community Service Ambassadors","May 30, 2020","5","662","0","0","0","0",,
"Community By-Law Enforcement","May 29, 2020","79","131","2","0","0","0",,
"Community Service Ambassadors","May 29, 2020","5","400","18","0","0","0",,
"Community By-Law Enforcement","May 28, 2020","40","147","2","0","0","0",,
"Community By-Law Enforcement","May 30, 2020","25","154","3","0","0","0",,
"Community Service Ambassadors","May 28, 2020","5","326","26","0","0","0",,
"Community Service Ambassadors","May 31, 2020","5","692","106","0","0","0",,
"Community By-Law Enforcement","May 31, 2020","17","262","5","0","0","0",,
"Community Service Ambassadors","June 01, 2020","5","468","28","0","0","0",,
"Community By-Law Enforcement","June 01, 2020","74","175","0","0","0","0",,
"Community Service Ambassadors","June 04, 2020","5","448","18","0","0","0",,
"Community By-Law Enforcement","June 04, 2020","35","185","0","0","0","0",,
"Community By-Law Enforcement","June 05, 2020","38","197","0","0","0","0",,
"Community Service Ambassadors","June 05, 2020","5","329","0","0","0","0",,
"Community Service Ambassadors","May 20, 2021","3","120",,,,,"1","121"
"Community Service Ambassadors","May 25, 2021","3","248",,,,,"4","252"
"Community Service Ambassadors","May 24, 2021","3","749",,,,,"22","771"
"Community Service Ambassadors","May 23, 2021","3","307",,,,,"2","309"
"Community Service Ambassadors","May 19, 2021","3","303",,,,,"4","307"
"Community Service Ambassadors","May 21, 2021","3","182",,,,,"2","184"
"Community Service Ambassadors","May 22, 2021","3","305",,,,,"0","305"
"Community Service Ambassadors","May 27, 2021","3","485",,,,,"1","486"
"Community Service Ambassadors","May 26, 2021","3","396",,,,,"2","398"
"Community Service Ambassadors","May 31, 2021","3","341",,,,,"4","345"
"Community Service Ambassadors","May 28, 2021","3","500",,,,,"4","504"
"Community Service Ambassadors","May 29, 2021","3","753",,,,,"5","758"
"Community Service Ambassadors","May 30, 2021","3","385",,,,,"4","389"
"Community Service Ambassadors","June 01, 2021","3","325",,,,,"1","326"
"Community Service Ambassadors","June 02, 2021","3","451",,,,,"1","452"
"Community Service Ambassadors","June 07, 2021","10","825",,,,,"2","827"
"Community Service Ambassadors","June 03, 2021","4","1,626",,,,,"2","1,628"
"Community Service Ambassadors","June 20, 2021","5","511",,,,,"5","516"
"Community Service Ambassadors","June 14, 2021","6","1,033",,,,,"0","1,033"
"Community Service Ambassadors","June 12, 2021","4","1,425",,,,,"4","1,430"
"Community Service Ambassadors","June 09, 2021","9","493",,,,,"6","499"
"Community Service Ambassadors","June 04, 2021","6","681",,,,,"2","683"
"Community Service Ambassadors","June 10, 2021","9","741",,,,,"3","744"
"Community Service Ambassadors","June 13, 2021","4","873",,,,,"0","873"
"Community Service Ambassadors","June 19, 2021","5","594",,,,,"3","597"
"Community Service Ambassadors","June 06, 2021","7","810",,,,,"2","812"
"Community Service Ambassadors","June 16, 2021","6","634",,,,,"4","638"
"Community Service Ambassadors","June 23, 2021","4","503",,,,,"3","506"
"Community Service Ambassadors","June 15, 2021","4","1,200",,,,,"1","1,201"
"Community Service Ambassadors","June 24, 2021","3","538",,,,,"5","543"
"Community Service Ambassadors","June 25, 2021","5","303",,,,,"3","306"
"Community Service Ambassadors","June 22, 2021","5","504",,,,,"1","505"
"Community Service Ambassadors","June 05, 2021","7","823",,,,,"5","828"
"Community Service Ambassadors","June 21, 2021","5","412",,,,,"2","414"
"Community Service Ambassadors","June 08, 2021","9","749",,,,,"0","749"
"Community Service Ambassadors","June 17, 2021","6","810",,,,,"0","810"
"Community Service Ambassadors","June 11, 2021","9","443",,,,,"1","444"
"Community Service Ambassadors","June 18, 2021","5","457",,,,,"4","461"
